name;birthday;customer;orderdate;product;units;unitprice
Oren;1979-11-07;Pacific Vision Construction Agency;2016-10-01 09:14:17.478037;iPhone;36;855,73
Taryn;1979-08-16;Studio Interactive Hill Incorporated;2016-10-05 09:14:17.478056;Star Wars;9;10,87
Iola;1995-01-22;Future Bell Analysis Industries;2016-10-09 09:14:17.478076;Rubik’s Cube;50;18,53
Judy;1975-10-28;Electronics Innovation Consulting Inc;2016-10-17 09:14:17.478096;Lipitor;49;10,46
Renita;1980-08-14;Electronic Internet Group;2016-10-20 09:14:17.478116;Lipitor;33;11,66
Frederick;1983-07-24;Building Max East Inc;2016-10-20 09:14:17.478136;Rubik’s Cube;43;17,97
Danelle;1964-12-06;South Virtual Signal Co;2016-10-19 09:14:17.478156;Corolla;43;21468,2
Sasha;1986-05-08;Power LLC;2016-10-06 09:14:17.478175;Rubik’s Cube;43;17,69
Matthew;1981-12-16;Universal Organization;2016-09-26 09:14:17.478195;banana;22;10,0
Sandy;1979-04-24;Research Co;2016-10-13 09:14:17.478215;Star Wars;11;9,09
Allene;1982-08-06;Adventure Network Co;2016-10-01 09:14:17.478234;banana;9;10,0
Sandy;1975-05-18;Universal Star Incorporated;2016-10-20 09:14:17.478255;Thriller record;8;15,09
Weston;1984-10-04;Atlantic Industries Organization;2016-09-28 09:14:17.478275;Thriller record;4;18,63
Dee;1979-01-05;Digital Resource Inc;2016-09-27 09:14:17.478294;Rubik’s Cube;11;15,56
Edmund;1985-01-13;Studio Inc;2016-10-11 09:14:17.478314;Star Wars;34;10,52
Carlo;1993-07-27;Source Pacific Corporation;2016-10-14 09:14:17.478334;Thriller record;26;19,13
Dong;1972-01-29;South Industries;2016-09-30 09:14:17.478353;PlayStation;47;205,54
Gregorio;1975-12-06;North Analysis Organization;2016-09-28 09:14:17.478373;PlayStation;6;228,34
Zane;1981-10-27;South Inc;2016-10-12 09:14:17.478393;Star Wars;19;10,61
Garret;1977-04-14;Galaxy Direct Agency;2016-10-03 09:14:17.478412;iPad;34;520,78
Retha;1983-10-03;Source Limited;2016-09-28 09:14:17.478432;Thriller record;32;12,5
Frederick;1983-07-24;Building Max East Inc;2016-10-07 09:14:17.478455;PlayStation;8;263,29
Ezequiel;1980-10-07;Advanced Alpha Virtual Organization;2016-10-01 09:14:17.478476;Lipitor;40;11,08
Helen;1995-02-07;West Organization;2016-10-01 09:14:17.478500;PlayStation;24;266,08
Merlin;1984-07-30;Software Graphics Technology Inc;2016-10-09 09:14:17.478521;Corolla;50;22361,17
Danilo;1956-04-05;Vision Venture Organization;2016-10-07 09:14:17.478541;Harry Potter book;1;14,09
Hector;1961-04-08;People Graphics Venture Agency;2016-10-01 09:14:17.478561;Rubik’s Cube;36;18,57
Marina;1955-02-05;Power Incorporated;2016-09-28 09:14:17.478580;Harry Potter book;44;13,5
Jamie;1979-10-14;General Hardware Source Organization;2016-10-17 09:14:17.478600;Star Wars;26;9,66
Rena;1983-05-19;Interactive Provider Resource Agency;2016-10-18 09:14:17.478620;banana;24;10,0
Geraldo;1985-11-07;Solutions Group;2016-09-28 09:14:17.478640;banana;6;10,0
Constance;1981-04-28;Software Industries;2016-10-19 09:14:17.478665;Star Wars;31;9,17
Jude;1953-06-20;Atlantic Building International;2016-10-18 09:14:17.478685;iPhone;33;609,12
Dorene;1995-03-17;Bell Resource Venture LLC;2016-10-15 09:14:17.478705;PlayStation;15;293,01
Romeo;1995-03-07;Vision Co;2016-10-10 09:14:17.478726;iPad;50;365,21
Tameka;1986-02-17;Medicine Contract Hardware Organization;2016-10-08 09:14:17.478745;iPad;29;1049,21
Racheal;1983-12-30;Construction Building Industries;2016-10-04 09:14:17.478765;iPad;27;913,06
Andrea;1964-10-25;North Telecom Co;2016-10-05 09:14:17.478786;iPad;15;462,4
Ruben;1966-06-26;Data West Limited;2016-10-18 09:14:17.478805;PlayStation;43;248,74
Sally;1982-11-29;Advanced Resource Co;2016-10-07 09:14:17.478825;banana;2;10,0
Sandy;1979-04-24;Research Co;2016-10-18 09:14:17.478845;iPad;50;1001,16
Adan;1995-11-23;Electronic Vision Provider Co;2016-10-07 09:14:17.478864;Star Wars;17;8,58
David;1952-01-18;Internet Organization;2016-10-02 09:14:17.478884;Thriller record;37;10,32
Kenneth;1975-12-23;Building Limited;2016-10-13 09:14:17.478903;Star Wars;7;8,92
Shanta;1971-10-26;Studio Omega Group;2016-10-19 09:14:17.478923;iPhone;27;519,5
Lonnie;1986-02-15;Studio South LLC;2016-10-03 09:14:17.478943;Thriller record;25;15,52
Joshua;1974-06-06;People Star Group;2016-10-18 09:14:17.478963;iPhone;27;655,0
Sasha;1986-05-08;Power LLC;2016-09-29 09:14:17.478983;iPad;37;487,21
Brenda;1983-06-07;Architecture Alpha West Inc;2016-10-07 09:14:17.479003;banana;30;10,0
Loren;1971-02-13;Venture Construction Virtual Group;2016-10-19 09:14:17.479024;Corolla;7;21227,59
Meaghan;1980-01-20;Contract Medicine LLC;2016-10-15 09:14:17.479044;iPhone;5;689,41
Julia;1981-07-06;Architecture Net Digital Incorporated;2016-09-30 09:14:17.479063;Lipitor;40;11,58
Marina;1955-02-05;Power Incorporated;2016-10-07 09:14:17.479083;banana;21;10,0
Deandre;1958-06-18;Alpha Organization;2016-10-01 09:14:17.479104;PlayStation;26;299,07
Julia;1985-10-20;Power Network LLC;2016-10-20 09:14:17.479123;Rubik’s Cube;17;16,57
Gaylord;1961-07-30;Vision Venture Group;2016-10-07 09:14:17.479143;PlayStation;48;238,5
Eusebio;1969-01-08;Universal Industries;2016-10-08 09:14:17.479163;Lipitor;37;10,1
Isiah;1987-05-15;Hardware Industries;2016-10-18 09:14:17.479182;Rubik’s Cube;6;18,85
Bonita;1980-06-08;Net International;2016-10-07 09:14:17.479202;banana;35;10,0
Shelby;1969-11-10;Solutions General Group;2016-09-28 09:14:17.479222;Harry Potter book;47;10,31
Zack;1987-04-23;General Hardware Limited;2016-10-01 09:14:17.479241;Harry Potter book;16;17,42
Junior;1979-08-19;Source Internet Inc;2016-10-09 09:14:17.479261;Harry Potter book;48;5,97
Mellissa;1982-08-03;Network LLC;2016-10-07 09:14:17.479281;Star Wars;18;11,21
Retha;1983-10-03;Source Limited;2016-10-05 09:14:17.479301;Lipitor;20;10,96
Jamie;1979-10-14;General Hardware Source Organization;2016-09-29 09:14:17.479320;Rubik’s Cube;10;16,66
Brant;1971-01-04;Hill Speed International;2016-09-29 09:14:17.479339;iPhone;39;412,17
Allene;1982-08-06;Adventure Network Co;2016-10-09 09:14:17.479359;Star Wars;49;10,87
Kermit;1984-03-22;Electronic Future Incorporated;2016-10-14 09:14:17.479379;Thriller record;42;18,23
Sun;1974-04-15;Industries Universal Consulting Corporation;2016-10-17 09:14:17.479398;Star Wars;19;10,75
Michael;1962-11-05;Galaxy Federated Limited;2016-10-19 09:14:17.479418;Corolla;19;24410,63
Kennith;1988-01-08;Provider Electronic Corporation;2016-10-03 09:14:17.479438;banana;10;10,0
Van;1966-03-26;Architecture Systems Analysis Co;2016-10-20 09:14:17.479458;Rubik’s Cube;46;17,79
Oren;1979-11-07;Pacific Vision Construction Agency;2016-09-29 09:14:17.479481;Star Wars;23;11,99
Danny;1982-11-10;Atlantic Star Organization;2016-10-01 09:14:17.479511;Harry Potter book;1;12,69
Adan;1977-10-24;Solutions Inc;2016-10-11 09:14:17.479532;iPad;48;479,55
Danny;1982-11-10;Atlantic Star Organization;2016-10-14 09:14:17.479552;Thriller record;14;19,72
Dorene;1995-03-17;Bell Resource Venture LLC;2016-10-03 09:14:17.479571;banana;44;10,0
Jere;1978-10-09;Building Agency;2016-09-27 09:14:17.479591;Harry Potter book;41;20,98
Vince;1981-03-23;Direct Organization;2016-09-30 09:14:17.479611;Rubik’s Cube;5;16,34
Lonny;1982-08-17;Industries Advanced Organization;2016-10-06 09:14:17.479630;Star Wars;7;11,66
Mari;1972-10-23;Consulting Federated Vision Agency;2016-10-15 09:14:17.479650;iPad;8;365,6
Samual;1975-09-18;Speed Digital Galaxy LLC;2016-10-11 09:14:17.479669;Star Wars;34;8,56
Rosario;1979-09-18;People Inc;2016-10-08 09:14:17.479689;Harry Potter book;22;29,35
Carmine;1967-06-01;General Star Speed Group;2016-10-04 09:14:17.479709;iPad;48;611,74
Timothy;1970-04-03;Max Co;2016-10-09 09:14:17.479728;iPad;34;462,89
Mellissa;1985-01-31;Provider South Corporation;2016-10-19 09:14:17.479747;banana;7;10,0
Danny;1982-11-10;Atlantic Star Organization;2016-09-30 09:14:17.479767;Rubik’s Cube;41;17,48
Jaclyn;1978-08-30;Galaxy Contract LLC;2016-09-26 09:14:17.479787;Thriller record;11;9,91
Alden;1984-12-01;Electronics Net Corporation;2016-10-07 09:14:17.479807;iPad;44;957,99
Joesph;1972-03-20;Direct Organization;2016-10-15 09:14:17.479826;Thriller record;22;18,4
Chelsey;1979-03-06;Direct Agency;2016-10-11 09:14:17.479846;Harry Potter book;34;31,4
Fausto;1980-11-30;Frontier Max Analysis LLC;2016-10-11 09:14:17.479866;Thriller record;34;13,36
Jodi;1983-05-31;Software Power Future International;2016-10-09 09:14:17.479885;PlayStation;19;229,83
Gregoria;1987-09-13;Star Digital Resource Co;2016-10-18 09:14:17.479907;Star Wars;45;8,32
Amelia;1981-10-22;Architecture Electronic Design Group;2016-10-09 09:14:17.479930;Corolla;22;22143,33
Laura;1972-03-18;Net Medicine Solutions Corporation;2016-10-18 09:14:17.479950;PlayStation;14;283,76
Oren;1979-11-07;Pacific Vision Construction Agency;2016-10-20 09:14:17.479971;Star Wars;32;10,47
Jewel;1986-07-12;Bell Incorporated;2016-09-30 09:14:17.479991;Lipitor;45;10,92
Maxwell;1970-10-21;Star Federated Organization;2016-09-28 09:14:17.480010;banana;37;10,0
Dong;1972-01-29;South Industries;2016-10-03 09:14:17.480030;Lipitor;33;11,64
Jean;1969-05-24;Industries Organization;2016-10-06 09:14:17.480049;Lipitor;5;11,3
Jewel;1986-07-12;Bell Incorporated;2016-10-03 09:14:17.480068;PlayStation;23;283,53
Ezequiel;1980-10-07;Advanced Alpha Virtual Organization;2016-10-17 09:14:17.480088;Rubik’s Cube;23;17,04
Amber;1981-12-02;Solutions Co;2016-10-02 09:14:17.480108;Rubik’s Cube;29;16,49
Rudolph;1987-02-17;Federated LLC;2016-09-26 09:14:17.480128;iPhone;35;691,08
Ashleigh;1980-12-30;Galaxy International;2016-10-15 09:14:17.480147;Star Wars;11;9,34
Reta;1968-11-17;Interactive Power Inc;2016-10-02 09:14:17.480167;PlayStation;26;238,74
Sasha;1986-05-08;Power LLC;2016-10-04 09:14:17.480186;iPad;10;715,4
Rosario;1979-09-18;People Inc;2016-10-18 09:14:17.480206;Harry Potter book;25;13,13
Arden;1969-09-04;Pacific Signal Incorporated;2016-09-29 09:14:17.480226;iPhone;28;434,74
Luther;1980-08-03;Bell East Alpha Limited;2016-10-10 09:14:17.480246;Corolla;42;20603,99
Tosha;1973-03-08;Solutions Corporation;2016-10-05 09:14:17.480266;PlayStation;38;274,84
Jami;1989-03-13;Star LLC;2016-09-28 09:14:17.480285;banana;6;10,0
Chad;1993-07-19;Direct Group;2016-10-13 09:14:17.480304;banana;34;10,0
Lissette;1967-07-18;Frontier Hardware Industries;2016-10-10 09:14:17.480323;iPad;14;916,04
Alfred;1967-08-14;Architecture People Technology Inc;2016-09-29 09:14:17.480343;Harry Potter book;44;15,93
Sandy;1979-04-24;Research Co;2016-09-27 09:14:17.480362;iPhone;37;842,1
Max;1984-04-10;Network Bell Net Limited;2016-10-13 09:14:17.480382;iPad;48;396,69
Elias;1985-10-20;People Universal Organization;2016-10-15 09:14:17.480402;iPhone;32;573,49
Santa;1986-11-20;Star LLC;2016-10-19 09:14:17.480421;PlayStation;45;283,08
Armando;1973-12-21;Innovation Limited;2016-10-06 09:14:17.480441;Harry Potter book;32;10,89
Alfred;1967-08-14;Architecture People Technology Inc;2016-10-20 09:14:17.480460;Thriller record;33;18,94
Leann;1958-04-05;Net Corporation;2016-10-10 09:14:17.480480;Star Wars;27;9,47
Alden;1984-12-01;Electronics Net Corporation;2016-10-20 09:14:17.480503;iPhone;26;734,73
Tameka;1986-02-17;Medicine Contract Hardware Organization;2016-09-29 09:14:17.480524;banana;45;10,0
Chester;1984-05-31;Federated Research Net Group;2016-10-04 09:14:17.480543;Thriller record;38;16,35
Shelly;1962-07-05;Building Agency;2016-10-06 09:14:17.480564;Lipitor;7;11,51
Darrick;1954-01-22;People Corporation;2016-10-05 09:14:17.480583;Corolla;42;20862,8
Fausto;1980-11-30;Frontier Max Analysis LLC;2016-09-30 09:14:17.480602;Star Wars;48;8,62
Luther;1980-08-03;Bell East Alpha Limited;2016-10-09 09:14:17.480622;banana;9;10,0
Zane;1981-12-31;Virtual Corporation;2016-10-02 09:14:17.480642;banana;25;10,0
Colette;1981-08-05;Technology Industries;2016-09-26 09:14:17.480662;iPad;32;789,32
Magdalene;1983-11-28;Universal Agency;2016-10-20 09:14:17.480681;Thriller record;1;13,53
Maryanne;1985-05-06;North LLC;2016-10-10 09:14:17.480701;iPhone;34;881,09
Brianna;1986-12-01;North Venture Power Group;2016-09-29 09:14:17.480720;Harry Potter book;8;27,78
Bernadette;1973-08-07;Vision Limited;2016-10-07 09:14:17.480739;Rubik’s Cube;7;16,7
Kristin;1973-10-21;Galaxy Design Corporation;2016-10-03 09:14:17.480759;PlayStation;47;225,36
Felipe;1995-04-19;Star Vision Organization;2016-10-18 09:14:17.480779;iPhone;43;466,79
Amelia;1981-10-22;Architecture Electronic Design Group;2016-10-13 09:14:17.480799;Corolla;20;21814,71
Jere;1978-10-09;Building Agency;2016-10-07 09:14:17.480819;Lipitor;50;11,07
Kenneth;1975-12-23;Building Limited;2016-10-06 09:14:17.480838;iPhone;48;813,01
Zane;1981-12-31;Virtual Corporation;2016-10-04 09:14:17.480857;Harry Potter book;40;5,34
Ebony;1987-03-14;Design Studio Group;2016-10-16 09:14:17.480876;banana;39;10,0
Lillian;1983-08-24;Network Organization;2016-10-20 09:14:17.480895;Rubik’s Cube;18;17,43
Colette;1981-08-05;Technology Industries;2016-10-15 09:14:17.480915;Rubik’s Cube;17;15,92
Deann;1987-02-05;Pacific Solutions Galaxy Limited;2016-10-09 09:14:17.480934;Thriller record;46;17,3
Rosa;1979-08-01;Application Industries;2016-10-16 09:14:17.480954;iPad;38;806,35
Allene;1982-08-06;Adventure Network Co;2016-10-04 09:14:17.480973;Rubik’s Cube;8;15,57
Danilo;1956-04-05;Vision Venture Organization;2016-10-17 09:14:17.481056;Corolla;6;24632,03
Chelsey;1979-03-06;Direct Agency;2016-09-26 09:14:17.481078;iPad;6;506,21
Tricia;1979-10-19;Application Star General Incorporated;2016-10-15 09:14:17.481097;Rubik’s Cube;26;15,1
Maxine;1970-11-19;Application North Solutions Corporation;2016-10-13 09:14:17.481117;Harry Potter book;13;30,34
Garth;1979-10-30;Hill Data Agency;2016-10-02 09:14:17.481137;iPad;29;1096,74
Colette;1981-08-05;Technology Industries;2016-10-17 09:14:17.481156;Thriller record;8;16,69
Garth;1979-10-30;Hill Data Agency;2016-10-13 09:14:17.481176;Star Wars;24;9,45
Maryanne;1985-05-06;North LLC;2016-09-28 09:14:17.481196;Corolla;1;24321,9
Liz;1967-09-02;Software Agency;2016-10-13 09:14:17.481216;banana;27;10,0
Willa;1957-04-19;Innovation Systems Co;2016-10-20 09:14:17.481238;iPad;20;460,12
Aurelio;1976-08-25;Medicine Galaxy Limited;2016-10-15 09:14:17.481258;iPhone;44;726,1
Margret;1979-01-19;Star Resource Corporation;2016-09-30 09:14:17.481277;Corolla;5;21557,84
Danny;1982-11-10;Atlantic Star Organization;2016-10-15 09:14:17.481298;Corolla;41;20863,42
Amelia;1981-10-22;Architecture Electronic Design Group;2016-10-17 09:14:17.481318;banana;30;10,0
Teressa;1985-08-08;Consulting Telecom Net Incorporated;2016-10-18 09:14:17.481338;Star Wars;15;8,53
Rosa;1979-08-01;Application Industries;2016-10-06 09:14:17.481357;Lipitor;41;10,43
Marta;1976-02-19;Industries Net Signal Organization;2016-10-12 09:14:17.481376;banana;48;10,0
Isiah;1987-05-15;Hardware Industries;2016-10-02 09:14:17.481397;iPad;48;559,17
Gregoria;1987-09-13;Star Digital Resource Co;2016-10-01 09:14:17.481418;Harry Potter book;15;32,4
Danny;1982-11-10;Atlantic Star Organization;2016-10-11 09:14:17.481437;Lipitor;23;10,65
Carlo;1993-07-27;Source Pacific Corporation;2016-10-17 09:14:17.481457;iPad;4;837,78
Matthew;1981-12-16;Universal Organization;2016-10-13 09:14:17.481476;Lipitor;33;11,97
Geraldo;1985-11-07;Solutions Group;2016-10-15 09:14:17.481495;Star Wars;50;10,29
Adan;1977-10-24;Solutions Inc;2016-10-19 09:14:17.481515;Harry Potter book;29;6,19
Marcela;1959-07-11;Software Application Design Organization;2016-10-18 09:14:17.481535;iPad;29;383,73
Eusebio;1969-01-08;Universal Industries;2016-09-26 09:14:17.481557;banana;6;10,0
Latosha;1970-10-11;Signal People Telecom Inc;2016-10-11 09:14:17.481577;Corolla;20;22868,59
Alton;1985-02-12;Source Studio Inc;2016-10-02 09:14:17.481596;iPad;34;961,87
Virgilio;1987-06-28;West Direct Inc;2016-10-19 09:14:17.481616;Corolla;21;20411,08
Ellsworth;1984-01-31;Atlantic Virtual Adventure Industries;2016-10-02 09:14:17.481635;Harry Potter book;38;22,72
Chiquita;1981-03-23;Virtual LLC;2016-09-29 09:14:17.481655;PlayStation;31;203,47
Fausto;1980-11-30;Frontier Max Analysis LLC;2016-10-09 09:14:17.481674;iPhone;30;870,87
Bill;1973-06-08;Direct Corporation;2016-10-11 09:14:17.481695;iPad;48;665,9
Emanuel;1975-01-15;Consulting Analysis Power Agency;2016-10-19 09:14:17.481715;PlayStation;12;227,41
Mel;1971-12-08;Universal Adventure Agency;2016-10-13 09:14:17.481735;Lipitor;19;11,03
Debrah;1985-01-02;Software Building Speed Organization;2016-10-16 09:14:17.481754;iPhone;13;822,5
Derrick;1985-05-04;Construction Analysis Limited;2016-10-17 09:14:17.481774;Harry Potter book;4;32,39
Sally;1982-11-29;Advanced Resource Co;2016-10-07 09:14:17.481794;PlayStation;24;208,92
Ellsworth;1984-01-31;Atlantic Virtual Adventure Industries;2016-09-26 09:14:17.481813;PlayStation;4;247,98
Danny;1982-11-10;Atlantic Star Organization;2016-10-10 09:14:17.481833;iPhone;22;419,6
Kenneth;1975-12-23;Building Limited;2016-09-28 09:14:17.481852;Lipitor;20;10,16
Adolph;1983-07-22;Innovation Pacific Corporation;2016-10-13 09:14:17.481872;iPhone;49;612,33
Wilburn;1979-07-11;Solutions Organization;2016-10-19 09:14:17.481891;Thriller record;41;16,24
Brandie;1998-12-31;Technology Internet Incorporated;2016-09-29 09:14:17.481911;Corolla;34;21480,0
Patrick;1991-04-13;Alpha Vision Venture Co;2016-10-03 09:14:17.481931;Harry Potter book;44;26,98
Aida;1980-02-19;Graphics Direct International;2016-10-06 09:14:17.481951;iPhone;9;457,95
Leann;1958-04-05;Net Corporation;2016-10-15 09:14:17.481970;Star Wars;20;10,89
Marcella;1979-02-18;Consulting Atlantic Direct Agency;2016-10-13 09:14:17.481990;iPad;8;1027,9
Aida;1980-02-19;Graphics Direct International;2016-09-26 09:14:17.482010;Harry Potter book;29;24,67
Cordell;1954-07-14;Building Inc;2016-09-29 09:14:17.482029;Lipitor;46;11,87
Lela;1981-03-04;Alpha Incorporated;2016-10-04 09:14:17.482049;Thriller record;15;16,5
Vince;1981-03-23;Direct Organization;2016-10-08 09:14:17.482068;Corolla;36;23728,88
Estela;1970-09-01;Federated Electronic Solutions Corporation;2016-10-10 09:14:17.482088;Corolla;17;22917,46
Danelle;1964-12-06;South Virtual Signal Co;2016-09-26 09:14:17.482107;Rubik’s Cube;22;16,93
Adan;1977-10-24;Solutions Inc;2016-10-08 09:14:17.482127;iPhone;27;619,12
Marcela;1959-07-11;Software Application Design Organization;2016-10-11 09:14:17.482146;Harry Potter book;47;32,31
Bernadette;1973-08-07;Vision Limited;2016-09-27 09:14:17.482166;iPad;43;303,2
