name;birthday;customer;orderdate;product;units;unitprice
Annette;1976-03-24 00:00:00;East People Co;2016-07-06 13:48:03;Star Wars;40;11,98
Jackie;1956-06-27 00:00:00;Frontier Graphics Resource LLC;2016-07-10 13:48:03;PlayStation;50;283,83
Robbin;1980-12-17 00:00:00;Virtual Resource Inc;2016-07-20 13:48:03;Lipitor;37;10,7
Isreal;1979-06-24 00:00:00;Pacific International;2016-07-17 13:48:03;iPad;17;451,08
Madge;1972-02-04 00:00:00;Frontier Alpha Future Co;2016-07-02 13:48:03;Lipitor;17;11,41
Raymond;1981-07-07 00:00:00;Medicine Graphics Industries;2016-07-15 13:48:03;PlayStation;13;284,73
Abdul;1979-01-29 00:00:00;Architecture Incorporated;2016-07-19 13:48:03;Star Wars;2;11,82
Sung;1977-10-23 00:00:00;Omega Pacific Future Incorporated;2016-07-12 13:48:03;Lipitor;12;10,75
Edward;1974-11-16 00:00:00;Analysis Technology LLC;2016-07-01 13:48:03;banana;46;10
Aurora;1977-09-23 00:00:00;Design Resource Future Inc;2016-07-05 13:48:03;Star Wars;47;11,41
Jimmie;1965-06-04 00:00:00;Star Limited;2016-07-03 13:48:03;iPad;30;1079,37
Collin;1985-01-23 00:00:00;Venture Industries;2016-07-09 13:48:03;Rubik’s Cube;40;17,25
Vickie;1980-05-29 00:00:00;Source Industries Alpha Co;2016-06-30 13:48:03;Lipitor;32;11,63
Gabriela;1994-12-20 00:00:00;Solutions Software Pacific Corporation;2016-06-30 13:48:03;Rubik’s Cube;19;18,06
Demarcus;1982-02-21 00:00:00;Speed West Network International;2016-07-19 13:48:03;iPad;13;1085,07
Jamaal;1983-06-22 00:00:00;Data Industries Organization;2016-07-23 13:48:03;Corolla;22;24413,23
Shellie;1953-08-09 00:00:00;Studio Corporation;2016-07-26 13:48:03;Corolla;47;22244,95
Rudolph;1959-10-15 00:00:00;Network Software West Inc;2016-07-21 13:48:03;iPhone;13;445,88
Waldo;1987-04-12 00:00:00;Telecom General Alpha Organization;2016-07-02 13:48:03;Lipitor;25;11,17
Angie;1979-03-19 00:00:00;Software Resource Incorporated;2016-07-12 13:48:03;PlayStation;22;203,76
Esteban;1983-08-21 00:00:00;Net LLC;2016-07-12 13:48:03;iPad;39;1026,6
Neva;1996-05-27 00:00:00;Design Agency;2016-07-01 13:48:03;Lipitor;33;10,82
Zelma;1984-01-14 00:00:00;Medicine Inc;2016-07-10 13:48:03;Rubik’s Cube;45;18,34
Larry;1980-10-15 00:00:00;Atlantic Incorporated;2016-07-17 13:48:03;PlayStation;29;297,79
Marguerite;1968-11-15 00:00:00;Hill Industries Advanced Organization;2016-07-20 13:48:03;iPad;3;346,36
Kate;1985-06-29 00:00:00;Interactive Industries;2016-07-24 13:48:03;Corolla;25;20534,61
Shiela;1976-03-28 00:00:00;North Incorporated;2016-07-10 13:48:03;Harry Potter book;15;10,58
Ladonna;1974-12-14 00:00:00;West Building Digital Limited;2016-07-18 13:48:03;Thriller record;31;13,14
Antonio;1987-01-24 00:00:00;Contract Analysis Interactive Corporation;2016-07-24 13:48:03;iPad;12;751,27
Jeromy;1971-09-02 00:00:00;Data International;2016-07-06 13:48:03;Rubik’s Cube;41;17,08
Weldon;1953-03-17 00:00:00;Network Application Co;2016-07-01 13:48:03;iPhone;6;541,54
Jeannette;1983-08-09 00:00:00;Technology International;2016-07-19 13:48:03;Lipitor;20;10,84
Leigh;1993-08-01 00:00:00;South Consulting Corporation;2016-07-18 13:48:03;Lipitor;16;11,9
Alecia;1984-02-11 00:00:00;Internet Hill Studio Incorporated;2016-07-07 13:48:03;Star Wars;9;9,77
Neva;1996-05-27 00:00:00;Design Agency;2016-07-17 13:48:03;iPhone;6;515,4
Damaris;1984-06-01 00:00:00;North Innovation Vision Inc;2016-07-26 13:48:03;Rubik’s Cube;42;17,38
Kathleen;1977-07-09 00:00:00;East Agency;2016-07-23 13:48:03;Rubik’s Cube;21;15,38
Shiela;1976-03-28 00:00:00;North Incorporated;2016-07-11 13:48:03;iPad;47;926,1
Ellsworth;1979-03-18 00:00:00;Application Systems Group;2016-07-11 13:48:03;banana;46;10
Jimmie;1965-06-04 00:00:00;Star Limited;2016-07-15 13:48:03;banana;29;10
Sharla;1971-05-15 00:00:00;Net Limited;2016-07-22 13:48:03;iPhone;6;842,26
Shawn;1980-07-14 00:00:00;Universal Frontier Adventure Corporation;2016-07-12 13:48:03;Rubik’s Cube;44;18,1
Autumn;1970-04-02 00:00:00;Frontier Corporation;2016-07-22 13:48:03;Harry Potter book;48;34,31
Wendy;1964-07-23 00:00:00;Future Net LLC;2016-07-22 13:48:03;Harry Potter book;29;25,35
Jamaal;1983-06-22 00:00:00;Data Industries Organization;2016-07-12 13:48:03;PlayStation;33;296,89
Gerri;1996-09-20 00:00:00;Consulting Direct Data LLC;2016-07-27 13:48:03;banana;47;10
Louisa;1986-01-29 00:00:00;Omega Incorporated;2016-07-25 13:48:03;Lipitor;5;10,93
Gracie;1974-05-03 00:00:00;Telecom Pacific Universal Organization;2016-07-15 13:48:03;banana;24;10
Cory;1987-03-24 00:00:00;Virtual Signal Innovation Inc;2016-07-11 13:48:03;Lipitor;45;10,5
Niki;1975-04-12 00:00:00;Network General Federated Industries;2016-07-19 13:48:03;banana;21;10
Maritza;1985-05-09 00:00:00;Max Technology Incorporated;2016-07-04 13:48:03;Thriller record;26;14,35
Benton;1980-05-06 00:00:00;Star Data Incorporated;2016-07-03 13:48:03;Harry Potter book;46;13,45
Jannette;1973-09-10 00:00:00;Architecture Technology Solutions Corporation;2016-07-12 13:48:03;Lipitor;20;11,03
Franklyn;1956-09-15 00:00:00;Star East South LLC;2016-07-20 13:48:03;PlayStation;27;260,68
Catina;1987-05-21 00:00:00;People LLC;2016-07-12 13:48:03;iPad;45;737,98
Gracie;1978-05-07 00:00:00;Resource Virtual Limited;2016-07-04 13:48:03;iPhone;32;895,65
Shelli;1973-05-14 00:00:00;People Systems Industries;2016-07-19 13:48:03;Lipitor;22;10,41
Bette;1989-11-14 00:00:00;People Group;2016-07-15 13:48:03;PlayStation;44;214,41
Chang;1984-02-05 00:00:00;Venture Alpha Corporation;2016-07-04 13:48:03;iPhone;46;690,25
Craig;1960-06-24 00:00:00;Telecom Digital Organization;2016-07-13 13:48:03;Thriller record;21;17,06
Olive;1980-09-13 00:00:00;Data Building Corporation;2016-07-24 13:48:03;banana;14;10
Retha;1963-06-17 00:00:00;Hill Net Building Agency;2016-07-15 13:48:03;Thriller record;44;15,89
Wayne;1992-09-10 00:00:00;East Application Contract Inc;2016-07-06 13:48:03;Corolla;40;24488,05
Erna;1968-06-05 00:00:00;Bell Star Corporation;2016-07-23 13:48:03;Rubik’s Cube;17;16,87
Jesica;1987-08-15 00:00:00;Network Solutions Group;2016-07-03 13:48:03;iPhone;3;570,67
Fernando;1979-06-27 00:00:00;Building Research Venture Organization;2016-07-03 13:48:03;iPhone;11;412,59
Eva;1984-01-22 00:00:00;Federated Provider Star Agency;2016-07-19 13:48:03;iPhone;1;763,06
Edwina;1986-11-04 00:00:00;Pacific Organization;2016-07-10 13:48:03;Star Wars;46;11,06
Melodie;1952-01-20 00:00:00;Source Atlantic Speed LLC;2016-07-14 13:48:03;Thriller record;38;17,04
Soon;1977-07-31 00:00:00;Advanced Limited;2016-07-15 13:48:03;Corolla;36;22150,04
Pasquale;1959-07-26 00:00:00;Max Vision Limited;2016-07-03 13:48:03;Harry Potter book;5;11,21
Dena;1982-01-16 00:00:00;Source Agency;2016-07-15 13:48:03;Star Wars;40;10,57
Johnathon;1968-07-28 00:00:00;Advanced Incorporated;2016-06-30 13:48:03;Harry Potter book;6;19,19
Perla;1982-09-10 00:00:00;Innovation Alpha LLC;2016-07-05 13:48:03;Thriller record;37;9,92
Jimmy;1957-06-21 00:00:00;Net Power Co;2016-07-16 13:48:03;Harry Potter book;11;9,67
Faustino;1980-02-04 00:00:00;Analysis Limited;2016-07-26 13:48:03;iPad;29;962,59
Jannette;1973-09-10 00:00:00;Architecture Technology Solutions Corporation;2016-07-26 13:48:03;Harry Potter book;39;22,56
Ethan;1952-12-08 00:00:00;Application Industries;2016-07-13 13:48:03;iPad;16;707,41
Bennie;1978-07-13 00:00:00;Alpha Software Pacific Organization;2016-07-27 13:48:03;Rubik’s Cube;39;18,19
Dana;1984-07-11 00:00:00;Net Speed Interactive Incorporated;2016-07-04 13:48:03;iPhone;14;704,96
Danny;1978-01-24 00:00:00;Omega Star Agency;2016-07-19 13:48:03;Thriller record;5;18,62
Mack;1984-05-14 00:00:00;Data Virtual Industries;2016-07-13 13:48:03;banana;13;10
Eli;1982-11-21 00:00:00;Direct Net Group;2016-07-28 13:48:03;banana;36;10
Jerald;1978-07-07 00:00:00;Star Adventure Group;2016-06-30 13:48:03;banana;32;10
Dorian;1985-03-25 00:00:00;Medicine Limited;2016-07-03 13:48:03;iPhone;47;549,29
Cori;1986-11-05 00:00:00;Signal Industries;2016-07-17 13:48:03;Thriller record;27;11,53
Reuben;1979-04-26 00:00:00;Construction Technology Venture International;2016-07-06 13:48:03;iPhone;20;550,49
Esther;1982-05-23 00:00:00;Universal Electronic International;2016-07-26 13:48:03;iPhone;13;872,64
Shellie;1953-08-09 00:00:00;Studio Corporation;2016-07-06 13:48:03;Thriller record;8;12,06
Carissa;1970-03-14 00:00:00;Galaxy Co;2016-07-26 13:48:03;banana;42;10
Edmond;1987-05-03 00:00:00;Digital Application People Corporation;2016-07-08 13:48:03;Corolla;16;20939,36
Freddie;1981-09-11 00:00:00;General Limited;2016-07-01 13:48:03;Thriller record;35;14,75
Aurora;1977-09-23 00:00:00;Design Resource Future Inc;2016-07-24 13:48:03;Lipitor;46;10,27
Opal;1981-02-10 00:00:00;South Frontier Bell Limited;2016-07-07 13:48:03;Star Wars;29;8,03
Damaris;1984-06-01 00:00:00;North Innovation Vision Inc;2016-07-06 13:48:03;Lipitor;15;10,76
Edmundo;1985-06-06 00:00:00;Internet Building General LLC;2016-07-12 13:48:03;iPhone;12;402,77
Horace;1975-10-11 00:00:00;Medicine International;2016-07-07 13:48:03;iPad;33;655,49
Edmundo;1985-06-06 00:00:00;Internet Building General LLC;2016-07-24 13:48:03;iPhone;18;656,18
Mindy;1959-10-06 00:00:00;Pacific Vision Electronics Co;2016-07-13 13:48:03;Lipitor;41;10,54
Wayne;1992-09-10 00:00:00;East Application Contract Inc;2016-07-17 13:48:03;Rubik’s Cube;38;18,01
Ismael;1982-06-18 00:00:00;Resource Innovation Application Agency;2016-07-06 13:48:03;iPad;29;964,42
Wilmer;1983-01-27 00:00:00;Federated Analysis Interactive LLC;2016-07-16 13:48:03;Thriller record;20;15,55
Amber;1981-02-07 00:00:00;Provider Limited;2016-07-12 13:48:03;Star Wars;12;9,89
Leanne;1993-05-14 00:00:00;Technology Limited;2016-07-09 13:48:03;Thriller record;42;11,33
Horace;1975-10-11 00:00:00;Medicine International;2016-07-23 13:48:03;iPhone;9;543,78
Leanne;1993-05-14 00:00:00;Technology Limited;2016-07-25 13:48:03;Star Wars;12;10,62
Tuan;1980-05-25 00:00:00;Universal Adventure Max International;2016-07-28 13:48:03;PlayStation;18;287,55
Scott;1969-06-12 00:00:00;Frontier Inc;2016-07-21 13:48:03;banana;43;10
Lucia;1967-10-17 00:00:00;Industries Max Organization;2016-07-10 13:48:03;Corolla;11;20182,19
Giuseppe;1982-01-11 00:00:00;Hardware Speed Corporation;2016-07-10 13:48:03;iPhone;21;835,61
Elena;1983-04-13 00:00:00;General Max Organization;2016-07-01 13:48:03;Lipitor;39;11,11
Benton;1980-05-06 00:00:00;Star Data Incorporated;2016-07-24 13:48:03;Star Wars;32;10,76
Jerrod;1979-06-01 00:00:00;Design Solutions Corporation;2016-07-08 13:48:03;Star Wars;2;11,2
Emery;1981-04-17 00:00:00;Net Electronics Venture LLC;2016-06-30 13:48:03;iPhone;6;475,95
Dorian;1985-03-25 00:00:00;Medicine Limited;2016-07-22 13:48:03;Star Wars;9;9,78
Marcia;1952-10-17 00:00:00;Graphics Systems Corporation;2016-07-06 13:48:03;PlayStation;23;233,43
Olive;1980-09-13 00:00:00;Data Building Corporation;2016-07-09 13:48:03;Corolla;20;21298,55
Elwood;1955-10-10 00:00:00;Solutions Innovation Co;2016-07-11 13:48:03;PlayStation;33;248,07
Lenora;1998-03-27 00:00:00;Electronic Advanced Agency;2016-07-14 13:48:03;PlayStation;45;286,45
Ladonna;1974-12-14 00:00:00;West Building Digital Limited;2016-07-26 13:48:03;Corolla;36;20458,97
Antonio;1987-01-24 00:00:00;Contract Analysis Interactive Corporation;2016-07-07 13:48:03;PlayStation;6;261,18
Joanne;1998-07-12 00:00:00;Hardware Studio Contract LLC;2016-07-23 13:48:03;Rubik’s Cube;29;17,29
Darrel;1978-02-15 00:00:00;South Agency;2016-07-21 13:48:03;iPad;3;632,33
Roderick;1973-06-14 00:00:00;Network Industries;2016-07-11 13:48:03;banana;30;10
Edmond;1987-05-03 00:00:00;Digital Application People Corporation;2016-07-22 13:48:03;Lipitor;30;11,23
Patti;1992-03-30 00:00:00;Atlantic Frontier Studio Industries;2016-07-20 13:48:03;Corolla;9;24470,91
Tasha;1983-01-04 00:00:00;Interactive Internet Incorporated;2016-06-30 13:48:03;Harry Potter book;9;10,65
Craig;1960-06-24 00:00:00;Telecom Digital Organization;2016-07-02 13:48:03;Thriller record;48;16,6
Cori;1986-11-05 00:00:00;Signal Industries;2016-07-09 13:48:03;Corolla;20;20649,66
Cori;1986-11-05 00:00:00;Signal Industries;2016-07-15 13:48:03;Corolla;33;21030,96
Ron;1978-12-13 00:00:00;Vision Inc;2016-07-14 13:48:03;Lipitor;18;10,67
Giuseppe;1982-01-11 00:00:00;Hardware Speed Corporation;2016-07-16 13:48:03;Star Wars;50;10,89
Shellie;1953-08-09 00:00:00;Studio Corporation;2016-07-24 13:48:03;PlayStation;7;267
Hank;1987-05-24 00:00:00;Max Hill Corporation;2016-07-04 13:48:03;Star Wars;25;10,07
Benito;1974-04-11 00:00:00;Star Organization;2016-07-27 13:48:03;Corolla;15;22366,86
Madge;1972-02-04 00:00:00;Frontier Alpha Future Co;2016-07-27 13:48:03;Thriller record;2;13,75
Waylon;1985-08-01 00:00:00;Digital East Virtual Group;2016-07-26 13:48:03;banana;45;10
Kieth;1984-05-11 00:00:00;People Industries;2016-06-30 13:48:03;iPad;44;335,84
Saundra;1990-04-20 00:00:00;Internet Inc;2016-07-12 13:48:03;Corolla;1;22232,01
Rolland;1971-05-25 00:00:00;Vision Limited;2016-07-17 13:48:03;Rubik’s Cube;46;16,83
Carmelo;1982-04-07 00:00:00;Max Future Net Group;2016-07-04 13:48:03;banana;35;10
Daphne;1967-10-17 00:00:00;West Solutions Limited;2016-07-17 13:48:03;iPhone;28;570,4
Jonathan;1986-09-11 00:00:00;Research Industries;2016-07-18 13:48:03;Thriller record;29;15,64
Ethan;1979-10-06 00:00:00;Internet Incorporated;2016-07-16 13:48:03;banana;1;10
Isreal;1979-06-24 00:00:00;Pacific International;2016-07-08 13:48:03;iPad;11;999,96
Lemuel;1985-09-01 00:00:00;Analysis Graphics Provider Incorporated;2016-07-02 13:48:03;PlayStation;9;252,94
Vickie;1980-05-29 00:00:00;Source Industries Alpha Co;2016-07-27 13:48:03;iPad;27;770,55
Maritza;1985-05-09 00:00:00;Max Technology Incorporated;2016-07-15 13:48:03;Corolla;39;23904,6
Johnathon;1968-07-28 00:00:00;Advanced Incorporated;2016-07-10 13:48:03;Lipitor;38;11,8
Benton;1977-02-21 00:00:00;Max Network LLC;2016-07-26 13:48:03;Star Wars;42;11,65
Margot;1982-03-11 00:00:00;Power Signal Vision Group;2016-07-19 13:48:03;Corolla;42;22008,19
Horace;1975-10-11 00:00:00;Medicine International;2016-07-06 13:48:03;Thriller record;20;13,53
Edmond;1987-05-03 00:00:00;Digital Application People Corporation;2016-07-15 13:48:03;banana;40;10
Alfredo;1990-03-01 00:00:00;Power Limited;2016-07-03 13:48:03;PlayStation;11;263,17
Christen;1973-08-23 00:00:00;Max West Signal Group;2016-07-21 13:48:03;banana;26;10
Edward;1974-11-16 00:00:00;Analysis Technology LLC;2016-07-17 13:48:03;Star Wars;33;9,96
Maximo;1970-11-19 00:00:00;Vision Direct Electronics Group;2016-07-08 13:48:03;Harry Potter book;20;21,49
Annette;1976-03-24 00:00:00;East People Co;2016-07-24 13:48:03;Rubik’s Cube;10;15,75
Erna;1968-06-05 00:00:00;Bell Star Corporation;2016-07-05 13:48:03;Lipitor;49;11,22
Leroy;1967-11-19 00:00:00;Architecture Organization;2016-07-07 13:48:03;iPad;5;849,27
Wilmer;1983-01-27 00:00:00;Federated Analysis Interactive LLC;2016-07-24 13:48:03;PlayStation;12;233,1
Lacy;1978-07-01 00:00:00;Hill Group;2016-07-07 13:48:03;Star Wars;5;9,73
Darron;1971-10-19 00:00:00;Interactive International;2016-07-25 13:48:03;Star Wars;50;9,99
Buck;1972-07-09 00:00:00;Frontier Research Technology LLC;2016-07-20 13:48:03;Thriller record;25;10,35
Maggie;1959-07-21 00:00:00;Hill People Industries Co;2016-07-12 13:48:03;Star Wars;18;11,88
Robbin;1980-12-17 00:00:00;Virtual Resource Inc;2016-07-22 13:48:03;Corolla;49;23612,86
Julian;1980-12-14 00:00:00;Bell Inc;2016-07-28 13:48:03;iPhone;18;494,52
Garth;1983-12-02 00:00:00;Design Agency;2016-07-22 13:48:03;Star Wars;42;8,35
Tara;1996-03-27 00:00:00;Construction Adventure Innovation Limited;2016-07-11 13:48:03;iPad;47;878,42
Edward;1974-11-16 00:00:00;Analysis Technology LLC;2016-06-30 13:48:03;PlayStation;26;263,15
Demarcus;1982-02-21 00:00:00;Speed West Network International;2016-07-23 13:48:03;Thriller record;41;10,49
Jannette;1973-09-10 00:00:00;Architecture Technology Solutions Corporation;2016-07-04 13:48:03;Star Wars;41;9,71
Leanne;1993-05-14 00:00:00;Technology Limited;2016-07-10 13:48:03;Rubik’s Cube;30;17,61
Fernando;1979-06-27 00:00:00;Building Research Venture Organization;2016-07-18 13:48:03;Harry Potter book;35;7,34
Tara;1996-03-27 00:00:00;Construction Adventure Innovation Limited;2016-07-24 13:48:03;Star Wars;13;10,22
Pablo;1964-04-14 00:00:00;Industries Power Net Agency;2016-07-17 13:48:03;Rubik’s Cube;36;15,99
Kieth;1984-05-11 00:00:00;People Industries;2016-07-15 13:48:03;Thriller record;6;15,33
Emily;1982-07-02 00:00:00;Medicine Incorporated;2016-07-06 13:48:03;PlayStation;1;225,64
Aurora;1977-09-23 00:00:00;Design Resource Future Inc;2016-07-13 13:48:03;iPad;1;399,2
Earle;1967-01-01 00:00:00;Solutions Inc;2016-07-10 13:48:03;Star Wars;40;11,92
Rich;1980-11-27 00:00:00;Technology Group;2016-07-13 13:48:03;iPhone;29;511,77
Scarlett;1976-09-27 00:00:00;People Galaxy Incorporated;2016-07-07 13:48:03;banana;46;10
Lauretta;1977-02-17 00:00:00;Innovation Electronic Medicine Corporation;2016-07-10 13:48:03;Corolla;15;23839,25
Annette;1976-03-24 00:00:00;East People Co;2016-07-01 13:48:03;Thriller record;44;18,95
Christen;1973-08-23 00:00:00;Max West Signal Group;2016-07-02 13:48:03;Thriller record;50;10,3
Galen;1992-02-02 00:00:00;Construction Data Agency;2016-07-21 13:48:03;Corolla;23;23424,28
Benito;1974-04-11 00:00:00;Star Organization;2016-07-03 13:48:03;Lipitor;22;10,44
Boyd;1974-10-12 00:00:00;Atlantic Network Galaxy Agency;2016-07-12 13:48:03;iPad;6;545,07
Elyse;1982-12-24 00:00:00;General Corporation;2016-07-08 13:48:03;Rubik’s Cube;34;15,2
Alisa;1959-12-09 00:00:00;Future Signal Data Limited;2016-07-25 13:48:03;Corolla;38;21287,04
Jefferey;1978-12-23 00:00:00;Contract Inc;2016-07-02 13:48:03;Thriller record;5;13,37
Marisela;1953-08-11 00:00:00;Digital West Corporation;2016-07-02 13:48:03;PlayStation;6;203,1
Clinton;1979-10-06 00:00:00;Direct Corporation;2016-07-03 13:48:03;Star Wars;34;11,97
Jesica;1987-08-15 00:00:00;Network Solutions Group;2016-07-11 13:48:03;iPad;27;809,88
Maggie;1959-07-21 00:00:00;Hill People Industries Co;2016-07-21 13:48:03;Star Wars;33;8,89
Robby;1983-03-10 00:00:00;Net Digital Application Agency;2016-07-02 13:48:03;Star Wars;14;10,21
Benito;1974-04-11 00:00:00;Star Organization;2016-07-07 13:48:03;Star Wars;38;9,9
Trent;1980-06-26 00:00:00;Innovation Frontier Industries;2016-07-15 13:48:03;iPhone;15;805,29
Tommy;1984-08-03 00:00:00;Analysis Solutions Limited;2016-07-07 13:48:03;Rubik’s Cube;1;15,48
Van;1972-04-28 00:00:00;Star Application Pacific Agency;2016-07-10 13:48:03;Harry Potter book;2;21,27
Jamaal;1983-06-22 00:00:00;Data Industries Organization;2016-07-17 13:48:03;iPad;13;740,02
Laverne;1988-11-18 00:00:00;Network Graphics West Corporation;2016-07-02 13:48:03;banana;44;10
Ned;1981-02-14 00:00:00;Industries Inc;2016-07-11 13:48:03;PlayStation;47;293,72
Daphne;1967-10-17 00:00:00;West Solutions Limited;2016-07-23 13:48:03;Thriller record;29;19,55
Eli;1982-11-21 00:00:00;Direct Net Group;2016-07-05 13:48:03;Star Wars;19;8,72
Winona;1980-03-30 00:00:00;Max LLC;2016-07-24 13:48:03;Star Wars;35;11,78
Olive;1980-09-13 00:00:00;Data Building Corporation;2016-07-04 13:48:03;PlayStation;25;251,06
Patti;1992-03-30 00:00:00;Atlantic Frontier Studio Industries;2016-07-08 13:48:03;banana;1;10
Arnoldo;1992-05-25 00:00:00;Star General Architecture LLC;2016-07-05 13:48:03;Thriller record;38;18,72
Dena;1982-01-16 00:00:00;Source Agency;2016-07-22 13:48:03;banana;9;10
Chong;1972-09-22 00:00:00;General Technology Co;2016-07-02 13:48:03;PlayStation;50;205,8
Ilene;1979-06-02 00:00:00;Innovation Federated Industries;2016-07-15 13:48:03;Star Wars;42;9,23
Terese;1985-06-17 00:00:00;Industries Limited;2016-07-10 13:48:03;Rubik’s Cube;24;18,43
Scarlett;1976-09-27 00:00:00;People Galaxy Incorporated;2016-07-13 13:48:03;Star Wars;7;9,74
Glen;1978-07-09 00:00:00;Star Telecom Power Co;2016-07-23 13:48:03;Star Wars;12;9,21
Pasquale;1967-09-02 00:00:00;Electronics Inc;2016-07-11 13:48:03;Rubik’s Cube;33;16,81
Morgan;1978-04-13 00:00:00;Solutions Application Systems Corporation;2016-07-04 13:48:03;Harry Potter book;27;32,33
Marquita;1981-11-09 00:00:00;Direct Limited;2016-07-09 13:48:03;banana;31;10
Chet;1980-12-18 00:00:00;Vision Speed International;2016-07-22 13:48:03;Rubik’s Cube;27;15,68
Weldon;1953-03-17 00:00:00;Network Application Co;2016-07-11 13:48:03;Rubik’s Cube;40;15,73
Wendy;1964-07-23 00:00:00;Future Net LLC;2016-07-01 13:48:03;iPad;31;492,39
Orlando;1976-06-10 00:00:00;Source LLC;2016-07-16 13:48:03;Harry Potter book;33;30,31
Jack;1976-01-03 00:00:00;Net Industries;2016-07-08 13:48:03;Corolla;12;22809,09
Lauretta;1977-02-17 00:00:00;Innovation Electronic Medicine Corporation;2016-07-08 13:48:03;Thriller record;7;14,52
Tommie;1983-08-29 00:00:00;Power Application Co;2016-07-24 13:48:03;Corolla;10;22013,79
Ervin;1977-10-14 00:00:00;Provider Agency;2016-07-21 13:48:03;Harry Potter book;13;19,85
Roderick;1973-06-14 00:00:00;Network Industries;2016-07-14 13:48:03;Corolla;1;21702,03
Cornell;1963-07-02 00:00:00;Technology Direct Star Limited;2016-07-19 13:48:03;banana;29;10
Florencio;1983-02-03 00:00:00;Speed Limited;2016-07-14 13:48:03;PlayStation;28;239,87
